Bioguide_ID,Name,Gender,Party,Born,Number_of_House_Terms,Present_Cong115,Present_Cong116,House_Election_Candidate_Vote_Share_2016,House_Election_Candidate_Vote_Share_2018,District,District_Presidential_VoteShare_Dem2016,District_Presidential_VoteShare_GOP2016,District_Density,District_Percent_Female,District_Percent_Male,District_Percent_Senior,District_Median_Age,District_Percent_White,District_Percent_Black,District_Percent_Asian,District_Percent_Hispanic,District_Percent_AmericanIndian,District_Mean_Income,District_Mean_Minus_National_Mean_Income,District_Median_Income,District_Median_Minus_National_Median_Income,District_Unemployment_Rate,DW-Nominate_1,DW-Nominate_2,TBIP_Floor_Speeches,TBIP_Tweets,Standardized_Vote_Ideal_Point,Standardized_Speech_Ideal_Point,Standardized_Tweet_Ideal_Point,Progressive_Caucus_Cong115,NewDems_Caucus_Cong115,BlueDog_Caucus_Cong115,ProblemSolvers_Caucus_Cong115,RSC_Caucus_Cong115,Freedom_Caucus_Cong115,GOP_Leadership_Cong115,DEM_Leadership_Cong115,CommitteeChair_Cong115,TopCommittee_Cong115,Progressive_Caucus_Cong116,NewDems_Caucus_Cong116,BlueDog_Caucus_Cong116,ProblemSolvers_Caucus_Cong116,RSC_Caucus_Cong116,Freedom_Caucus_Cong116,GOP_Leadership_Cong116,DEM_Leadership_Cong116,CommitteeChair_Cong116,TopCommittee_Cong116
B000490,Sanford Bishop Jr.,M,Democrat,1947,14,1,1,60.46208957754838,59.649344812389,GA-02,55.0,43.3,Rural-suburban mix,49.29,50.71,1.22,37.3,41.6,52.8,1.0,5.2,0.3,58084,-34240,39728,-25984,5.1,-0.282,0.465,-0.10291589051485062,0.1398053914308548,-0.8788628578186035,-0.5632280140274439,0.12740739633062603,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
B000574,Earl Blumenauer,M,Democrat,1948,13,1,1,72.22117151722816,72.5995639118873,OR-03,70.7,22.5,Urban-suburban mix,50.46,49.54,0.69,37.6,78.2,4.8,7.4,11.6,0.8,96542,4218,73091,7379,2.9,-0.427,-0.669,-0.1549057811498642,,-1.1707699298858643,-0.7474109040670373,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
B000755,Kevin Brady (Texas),M,Republican,1955,12,1,1,85.76172262137695,73.44108064575174,TX-08,23.9,72.7,Rural-suburban mix,49.27,50.73,0.78,37.9,83.0,8.4,3.0,24.2,0.3,109723,17399,78615,12903,2.2,0.522,0.217,0.2702834904193878,0.6190077662467957,1.0113377571105957,0.7588932618954363,1.511015928474553,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
B001227,Robert A. Brady,M,Democrat,1945,11,1,0,64.65184921311433,,PA-01,49.1,47.1,Sparse suburban,50.78,49.22,22.71,43.8,85.6,4.0,6.4,5.8,0.1,116590,28726,88168,26231,3.9,-0.484,0.225,,-0.001726306858472526,-1.3432343006134033,,-0.2812392957838454,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
B001243,Marsha Blackburn,F,Republican,1952,8,1,0,69.65220710024686,,TN-07,28.2,67.5,Pure rural,50.58,49.42,18.44,37.9,83.5,10.4,2.1,5.2,0.5,85274,-2590,58614,-3323,5.3,0.617,0.133,0.4659757614135742,0.4731643497943878,0.8710959553718567,1.452165888359601,1.0899199448870802,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B001248,Michael C. Burgess,M,Republican,1950,9,1,1,62.902222187037374,59.375369994080096,TX-26,34.4,60.9,Sparse suburban,50.69,49.31,0.55,36.3,76.0,9.1,7.8,19.8,0.6,122488,30164,96307,30595,2.2,0.577,-0.22,0.06221030279994011,0.44225937128067017,1.0272248983383179,0.021759165873877946,1.0006875157411927,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
B001250,Rob Bishop,M,Republican,1951,9,1,1,63.86371158214613,61.60899293445994,UT-01,22.4,49.7,Sparse suburban,49.23,50.77,0.41,31.1,91.4,0.9,1.7,13.5,1.1,92610,286,73964,8252,1.8,0.536,0.099,0.25639808177948,,1.022714376449585,0.7097018775427907,,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
B001251,G.K. Butterfield,M,Democrat,1947,9,1,1,69.15880354329825,69.84762079398551,NC-01,54.7,43.6,Rural-suburban mix,50.86,49.14,0.96,38.4,47.1,44.5,1.8,9.0,0.5,67332,-24992,47469,-18243,3.3,-0.404,0.18,-0.03718876093626022,-0.3017558157444,-1.1867929697036743,-0.33037865558623325,-1.147519202157365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B001257,Gus M. Bilirakis,M,Republican,1963,7,1,1,63.60080444288641,58.09302575555808,FL-12,38.8,57.4,Sparse suburban,52.03,47.97,0.72,46.5,86.3,5.5,3.0,14.0,0.3,77612,-14712,56761,-8951,2.4,0.405,0.013,0.34577709436416626,0.34262615442276,0.9448890089988708,1.026341990565956,0.7130149661581497,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
B001269,Lou Barletta,M,Republican,1956,4,1,0,61.463427019067204,,PA-11,34.7,60.5,Sparse suburban,50.63,49.37,22.44,40.1,89.0,3.9,1.9,9.4,0.3,84911,-2953,66863,4926,3.6,0.278,0.393,0.2897123396396637,0.42012983560562134,0.7556371092796326,0.8277232124074677,0.9367925603287921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B001270,Karen Bass,F,Democrat,1953,5,1,1,62.992423922736954,89.0755484858997,CA-37,85.7,9.6,Pure urban,49.26,50.74,1.68,35.7,50.2,21.9,9.2,40.0,0.5,106810,14486,69573,3861,3.0,-0.584,-0.101,-0.20422673225402832,-0.3589659333229065,-1.1833213567733765,-0.922138629071109,-1.3127028718688984,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
B001273,Diane Black,F,Republican,1951,4,1,0,70.33437728559907,,TN-06,23.7,72.6,Pure rural,50.51,49.49,21.76,40.8,90.2,4.6,0.9,4.5,0.2,75092,-12772,57059,-4878,3.9,0.58,0.219,0.3407723009586334,0.590021550655365,0.8400610089302063,1.008611672186303,1.4273235736061718,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B001274,Mo Brooks,M,Republican,1954,5,1,1,64.09677345654387,61.02012866695055,AL-05,31.3,64.7,Rural-suburban mix,50.85,49.15,0.56,39.7,75.0,18.3,1.7,5.5,0.5,80182,-12142,59950,-5762,2.6,0.644,-0.452,0.3626648485660553,0.49427688121795654,1.0331944227218628,1.086169686627456,1.1508784879744896,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
B001275,Larry Bucshon,M,Republican,1962,5,1,1,64.02512782836492,64.42971701781892,IN-08,30.9,64.6,Rural-suburban mix,50.33,49.67,0.44,40.3,91.2,4.5,1.1,2.7,0.1,72249,-20075,54326,-11386,3.0,0.404,0.251,0.4565427005290985,0.4189467430114746,0.9916483163833618,1.4187476911985535,0.9333765985272539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
B001278,Suzanne Bonamici,F,Democrat,1954,5,1,1,61.58935662796219,63.647250233311034,OR-01,57.3,34.5,Dense suburban,50.63,49.37,0.51,38.0,78.5,1.8,9.0,15.0,0.7,106277,13953,81473,15761,2.5,-0.393,-0.4,-0.26414576172828674,-0.3335217237472534,-1.2073605060577393,-1.1344118206885587,-1.239237406519204,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
B001281,Joyce Beatty,F,Democrat,1950,4,1,1,70.88218457031977,73.60840289123023,OH-03,67.0,28.6,Dense suburban,50.46,49.54,0.91,32.6,52.8,34.6,4.4,7.2,0.2,68130,-24194,51435,-14277,3.7,-0.429,0.068,-0.2605983316898346,-0.36070021986961365,-1.1420841217041016,-1.1218444559814025,-1.3177103046140473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B001282,Andy Barr,M,Republican,1973,4,1,1,56.26614487585113,50.99838884340087,KY-06,39.4,54.7,Rural-suburban mix,51.37,48.63,0.61,37.2,83.9,8.9,2.0,4.9,0.2,76663,-15661,55613,-10099,3.0,0.495,0.277,0.30600544810295105,0.5029094815254211,1.0382825136184692,0.8854442764036247,1.1758035302274292,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
B001284,Susan Brooks,F,Republican,1960,4,1,1,59.263583719586265,56.76168196306794,IN-05,41.3,53.1,Sparse suburban,51.24,48.76,0.63,38.3,84.3,8.6,3.8,5.1,0.2,109475,17151,76417,10705,2.4,0.362,0.222,0.14597727358341217,0.4015923738479614,0.8445470929145813,0.31851768142981346,0.8832690562726165,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
B001285,Julia Brownley,F,Democrat,1952,4,1,1,61.12447805156673,61.942010601896435,CA-26,57.9,36.0,Dense suburban,50.96,49.04,0.61,38.4,81.1,2.0,6.7,46.2,0.7,120502,28178,91602,25890,2.7,-0.285,0.05,-0.18975558876991272,-0.25529351830482483,-1.0495854616165161,-0.8708721809880846,-1.0133678820911884,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
B001286,Cheri Bustos,F,Democrat,1961,4,1,1,61.10170524576397,62.093414987660445,IL-17,46.7,47.4,Rural-suburban mix,50.89,49.11,0.58,40.7,81.3,12.4,1.0,9.6,0.3,64740,-27584,50346,-15366,3.6,-0.237,0.032,-0.12483686953783035,-0.10587986558675766,-0.972199559211731,-0.6408867515172781,-0.5819634993418097,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
B001287,Ami Bera,M,Democrat,1965,4,1,1,53.05570046189616,55.0449724270907,CA-07,52.3,40.9,Dense suburban,51.61,48.39,1.02,39.1,60.4,7.2,17.8,17.4,0.6,101893,9569,77786,12074,3.4,-0.23,0.012,-0.10322733223438263,-0.17712771892547607,-0.852891743183136,-0.5643313484503802,-0.7876785436678185,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
B001289,Bradley Byrne,M,Republican,1955,4,1,1,78.80111666048722,63.15633282086581,AL-01,34.1,63.5,Rural-suburban mix,51.62,48.38,0.77,40.4,66.9,27.4,1.4,3.3,1.0,68866,-23458,50663,-15049,3.2,0.607,0.252,0.23640897870063782,0.3607432246208191,1.0409350395202637,0.6388871339572174,0.765324667071283,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
B001291,Brian Babin,M,Republican,1948,3,1,1,80.52351647254046,72.55852511308548,TX-36,25.2,72.0,Rural-suburban mix,50.11,49.89,0.72,37.0,82.4,9.0,1.8,28.5,0.5,81916,-10408,62206,-3506,3.8,0.685,0.17,0.41458356380462646,0.4701954424381256,1.070457100868225,1.2701004259112705,1.0813477721159268,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
B001292,Don Beyer,M,Democrat,1950,3,1,1,72.04153925161651,76.10116151600626,VA-08,73.5,20.9,Urban-suburban mix,50.6,49.4,0.88,36.5,62.9,14.1,12.2,18.5,0.3,149429,57105,111627,45915,2.3,-0.387,-0.047,-0.09933766722679138,-0.3176116645336151,-1.0835844278335571,-0.5505515590791452,-1.1933000430339744,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
B001293,Mike Bishop (politician),M,Republican,1967,2,1,0,51.57085981305774,,MI-08,43.9,50.6,Sparse suburban,50.79,49.21,18.87,38.1,84.8,5.8,5.0,5.4,0.3,96568,8704,72654,10717,4.8,0.451,0.095,0.3458189070224762,,0.8628349304199219,1.026490118906941,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B001294,Rod Blum,M,Republican,1955,2,1,0,50.10219404354718,,IA-01,45.2,48.7,Rural-suburban mix,50.44,49.56,21.88,38.8,90.7,4.3,1.9,4.2,0.6,76064,-11800,59788,-2149,3.2,0.527,-0.488,,0.49871018528938293,0.6634836792945862,,1.1636788363474917,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B001295,Mike Bost,M,Republican,1960,3,1,1,53.06111792809962,51.57239918483767,IL-12,40.2,55.0,Rural-suburban mix,50.46,49.54,0.56,40.4,77.8,16.7,1.3,3.4,0.3,70836,-21488,53008,-12704,3.1,0.27,0.505,0.42604389786720276,0.4787648320198059,0.9027957320213318,1.3107005776462106,1.1060903050489745,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
B001296,Brendan Boyle,M,Democrat,1977,3,1,1,63.755679257463726,79.01694210375182,PA-02,72.9,24.9,Pure urban,52.51,47.49,1.41,35.7,45.0,25.2,8.8,27.9,0.4,67062,-25262,46248,-19464,5.1,-0.397,0.145,-0.29090821743011475,-0.40011411905288696,-1.0797765254974365,-1.2292222997165645,-1.4315106738546703,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
B001297,Ken Buck,M,Republican,1959,3,1,1,62.12295205961471,60.61929422969733,CO-04,34.3,57.4,Rural-suburban mix,49.69,50.31,0.51,38.0,89.0,1.6,2.2,22.4,0.9,105445,13121,83609,17897,2.2,0.748,-0.46,0.28104957938194275,0.4149493873119354,1.0373460054397583,0.7970339341555024,0.9218349707253863,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0
B001298,Don Bacon,M,Republican,1963,2,1,1,49.88533755097402,50.99502988107935,NE-02,46.0,48.2,Dense suburban,50.62,49.38,0.51,35.0,80.8,9.9,3.7,11.9,0.7,93424,1100,71277,5565,2.9,0.421,-0.128,0.20623844861984253,0.3816398084163666,0.8492649793624878,0.5320029809721952,0.8256597011855968,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
B001299,Jim Banks,M,Republican,1979,2,1,1,67.63022162827713,64.72629379686158,IN-03,30.1,65.1,Rural-suburban mix,50.74,49.26,0.42,37.4,86.4,6.1,2.7,6.3,0.4,75461,-16863,57288,-8424,2.3,0.638,-0.014,0.5410772562026978,0.42981386184692383,1.0266203880310059,1.7182255047119872,0.9647534011700302,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
B001300,Nanette Barragán,F,Democrat,1976,2,1,1,50.0,50.0,CA-44,83.0,12.3,Pure urban,50.25,49.75,1.97,33.5,45.8,14.6,6.0,71.4,0.7,76312,-16012,59030,-6682,4.6,-0.514,0.09,-0.2298985719680786,-0.38531139492988586,-1.1532384157180786,-1.0130854184067768,-1.38877053634299,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
B001301,Jack Bergman,M,Republican,1947,2,1,1,55.57820222643078,56.316598345248224,MI-01,36.6,57.9,Pure rural,49.55,50.45,0.33,47.1,92.2,1.4,0.7,1.9,2.7,68906,-23418,51553,-14159,2.9,0.434,0.053,0.39975306391716003,0.4670228958129883,0.9116517305374146,1.2175608976175556,1.0721876284900727,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
B001302,Andy Biggs,M,Republican,1958,2,1,1,61.785915083671824,59.424590499067286,AZ-05,36.5,57.6,Dense suburban,51.02,48.98,0.91,39.3,82.9,4.0,5.3,16.6,1.1,106183,13859,82540,16828,2.5,0.878,-0.479,0.24977567791938782,0.42377015948295593,1.059674620628357,0.6862409033598659,0.947303324551073,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
B001303,Lisa Blunt Rochester,F,Democrat,1962,2,1,1,59.598450386239676,64.45396995495227,DE-AL,53.4,41.9,Sparse suburban,51.37,48.63,0.47,41.4,67.7,22.5,3.8,9.6,0.4,92445,121,70176,4464,2.9,-0.326,-0.134,-0.22347639501094818,-0.30056411027908325,-1.1446592807769775,-0.9903337815431026,-1.1440783722778216,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
B001304,Anthony Brown (Maryland),M,Democrat,1961,2,1,1,75.88560043310541,78.05482848877256,MD-04,77.2,19.7,Dense suburban,49.91,50.09,2.4,38.0,28.5,52.4,3.0,17.5,0.2,109308,16984,88207,22495,3.6,-0.342,-0.159,-0.24987974762916565,-0.2864052951335907,-1.1018617153167725,-1.0838720777880009,-1.1031974032553358,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
B001305,Ted Budd,M,Republican,1971,2,1,1,54.068039039712815,51.540954749297974,NC-13,30.6,67.0,Rural-suburban mix,50.88,49.12,0.84,39.4,68.0,22.8,3.7,8.5,0.5,74827,-17497,56718,-8994,2.6,0.672,-0.083,0.38802871108055115,0.43349865078926086,1.0696086883544922,1.1760254151821257,0.9753925500718389,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
B001307,James Baird,M,Republican,1945,1,0,1,,64.06002545393534,IN-04,30.2,64.3,Rural-suburban mix,50.51,49.49,0.53,36.7,87.0,4.6,3.3,6.3,0.2,77949,-14375,60119,-5593,2.1,0.409,0.652,0.40369558334350586,0.2483815848827362,1.1894958019256592,1.2315279326144053,0.440901142486275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
B001308,Anthony Brindisi,M,Democrat,1978,1,0,1,,46.17653615273156,NY-22,39.3,54.8,Rural-suburban mix,50.63,49.37,0.43,41.0,88.7,3.9,3.0,4.0,0.2,74260,-18064,56615,-9097,2.5,-0.147,0.563,,-0.06019483879208565,-0.26118505001068115,,-0.450056404998609,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
B001309,Tim Burchett,M,Republican,1964,1,0,1,,65.94184653650423,TN-02,29.7,65.1,Rural-suburban mix,51.33,48.67,0.41,40.5,89.0,5.9,1.6,4.4,0.3,78752,-13572,57777,-7935,2.1,0.72,-0.219,0.5074729919433594,0.3771171569824219,1.2501765489578247,1.5991767736348184,0.8126013787715597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
B001311,Dan Bishop,M,Republican,1964,1,0,1,,49.25278635525985,NC-09,43.3,53.7,Sparse suburban,51.27,48.73,0.78,39.6,64.4,19.6,2.9,7.6,7.6,100959,8635,66208,496,2.6,0.791,-0.267,0.22003710269927979,0.27011850476264954,1.5836530923843384,0.5808870227727327,0.5036624921559815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C000059,Ken Calvert,M,Republican,1953,14,1,1,57.7140000987313,56.49931876584516,CA-42,41.4,53.4,Sparse suburban,50.93,49.07,1.11,35.6,61.1,6.2,9.5,41.7,0.5,114232,21908,90651,24939,3.1,0.348,0.216,0.11031873524188995,0.4335569739341736,0.9045093655586243,0.1921913405564193,0.9755609474028281,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
C000266,Steve Chabot,M,Republican,1953,12,1,1,55.58117863096518,51.32066566734581,OH-01,44.6,51.2,Sparse suburban,50.23,49.77,0.67,36.7,70.7,21.4,4.0,3.4,0.0,93109,785,63648,-2064,3.0,0.575,-0.223,0.3298421800136566,0.5669822692871094,1.0294415950775146,0.969889889171581,1.3608018951862202,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
C000537,James E. Clyburn,M,Democrat,1940,14,1,1,70.103881095031,70.12686925055587,SC-06,66.8,30.3,Pure rural,48.72,51.28,1.91,36.9,38.1,54.3,1.2,6.0,0.2,57268,-35056,41128,-24584,3.7,-0.464,0.253,-0.2074071764945984,-0.3820452094078064,-1.1498810052871704,-0.9334058851603816,-1.3793400276614547,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
C000714,"John Conyers, Jr.",M,Democrat,1929,27,1,0,80.18700891441458,,MI-13,78.8,18.1,Dense suburban,52.44,47.56,18.41,36.7,39.2,53.7,1.4,7.9,0.3,47615,-40249,34971,-26966,9.8,-0.658,-0.512,-0.3474009037017822,-0.3582291305065155,-1.6586335897445679,-1.429357097011336,-1.3105754895418433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C000984,Elijah Cummings,M,Democrat,1951,13,1,1,75.59396321591714,76.4402553738053,MD-07,75.8,20.2,Urban-suburban mix,49.53,50.47,1.99,39.2,35.7,52.5,7.5,4.0,0.5,97546,5222,63082,-2630,3.8,-0.438,-0.148,-0.1705493927001953,-0.5620632767677307,-1.2489345073699951,-0.8028310165312919,-1.8991090167757505,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
C001037,Michael Capuano,M,Democrat,1952,10,1,0,88.65346303032132,,MA-07,84.1,11.9,Pure urban,51.68,48.32,13.51,31.7,50.5,24.3,10.8,22.8,0.5,97982,10118,70019,8082,6.6,-0.58,-0.082,-0.28426259756088257,,-1.561750888824463,-1.2056790789351883,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C001038,Joseph Crowley,M,Democrat,1962,10,1,0,73.46567997518501,,NY-14,77.7,19.8,Pure urban,49.59,50.41,16.29,36.9,42.3,11.0,17.1,50.5,0.5,78310,-9554,60173,-1764,5.6,-0.412,-0.07,-0.3465561270713806,-0.40232089161872864,-1.5732418298721313,-1.4263643343929724,-1.4378823228928714,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
C001048,John Culberson,M,Republican,1956,9,1,0,51.926737108672214,,TX-07,48.5,47.1,Urban-suburban mix,52.38,47.62,14.23,35.2,62.5,15.3,11.4,30.3,0.6,116426,28562,72287,10350,4.8,0.503,0.366,0.19660575687885284,,0.8253370523452759,0.4978775580862092,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
C001049,William Lacy Clay,M,Democrat,1956,10,1,1,77.6299755777967,80.1024145785877,MO-01,77.0,18.8,Dense suburban,50.36,49.64,1.43,36.0,42.5,49.0,3.5,3.6,0.2,67195,-25129,50163,-15549,3.4,-0.48,-0.079,-0.24134719371795654,-0.4357377290725708,-1.2387092113494873,-1.0536440773134867,-1.534367281750101,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
